countryCode,monitoringSiteIdentifier,monitoringSiteIdentifierScheme,parameterWaterBodyCategory,observedPropertyDeterminandCode,observedPropertyDeterminandLabel,procedureAnalysedMatrix,resultUom,phenomenonTimeReferenceYear,parameterSamplingPeriod,procedureLOQValue,resultNumberOfSamples,resultQualityNumberOfSamplesBelowLOQ,resultQualityMinimumBelowLOQ,resultMinimumValue,resultQualityMeanBelowLOQ,resultMeanValue,resultQualityMaximumBelowLOQ,resultMaximumValue,resultQualityMedianBelowLOQ,resultMedianValue,resultStandardDeviationValue,procedureAnalyticalMethod,parameterSampleDepth,resultObservationStatus,remarks,metadata_versionId,metadata_beginLifeSpanVersion,metadata_statusCode,metadata_observationStatus,UID
AT,ATPG70331012,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166167
AT,ATPG70331022,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166168
AT,ATPG70331032,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166169
AT,ATPG70331042,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166170
AT,ATPG70331052,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166171
AT,ATPG70331082,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166172
AT,ATPG70331092,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166173
AT,ATPG70332012,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166174
AT,ATPG70332022,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166175
AT,ATPG70332032,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166176
AT,ATPG70332042,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166177
AT,ATPG70332052,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166178
AT,ATPG70332072,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166179
