countryCode,monitoringSiteIdentifier,monitoringSiteIdentifierScheme,parameterWaterBodyCategory,observedPropertyDeterminandCode,observedPropertyDeterminandLabel,procedureAnalysedMatrix,resultUom,phenomenonTimeReferenceYear,parameterSamplingPeriod,procedureLOQValue,resultNumberOfSamples,resultQualityNumberOfSamplesBelowLOQ,resultQualityMinimumBelowLOQ,resultMinimumValue,resultQualityMeanBelowLOQ,resultMeanValue,resultQualityMaximumBelowLOQ,resultMaximumValue,resultQualityMedianBelowLOQ,resultMedianValue,resultStandardDeviationValue,procedureAnalyticalMethod,parameterSampleDepth,resultObservationStatus,remarks,metadata_versionId,metadata_beginLifeSpanVersion,metadata_statusCode,metadata_observationStatus,UID
CZ,CZPMO_3639,euMonitoringSiteCode,RW,CAS_18785-72-3,Sulphate,W,mg/L,2014,2014-01-26--2014-11-27,1,12,0,0,13.4,0,22.4,0,31.3,0,22.65,,,0.2,A,CZCHMI_3639,http://cdr.eionet.europa.eu/cz/eea/wise_soe/wise4/envwkwjza/CZ_SW_2009_2015_WISE-SoE_WaterQuality._AggregatedData.xml,46:04.0,stable,A,11139610
CZ,CZPMO_3639,euMonitoringSiteCode,RW,CAS_189084-64-8,"BDE 100 (2,2’,4,4’,6-pentabromodiphenyl ether)",W,ug/L,2014,2014-02-24--2014-11-17,0.0001,6,1,1,0.0001,0,0.00039,0,0.0017,0,0.00015,,,0.2,A,CZCHMI_3639,http://cdr.eionet.europa.eu/cz/eea/wise_soe/wise4/envwkwjza/CZ_SW_2009_2015_WISE-SoE_WaterQuality._AggregatedData.xml,46:04.0,stable,A,11139611
CZ,CZPMO_3639,euMonitoringSiteCode,RW,CAS_1912-24-9,Atrazine,W,ug/L,2014,2014-02-24--2014-11-17,0.005,6,4,1,0.005,1,0.005,0,0.0055,1,0.005,,,0.2,A,CZCHMI_3639,http://cdr.eionet.europa.eu/cz/eea/wise_soe/wise4/envwkwjza/CZ_SW_2009_2015_WISE-SoE_WaterQuality._AggregatedData.xml,46:04.0,stable,A,11139612
CZ,CZPMO_3639,euMonitoringSiteCode,RW,CAS_191-24-2,"Benzo(g,h,i)perylene",W,ug/L,2014,2014-02-24--2014-11-17,0.0005,6,0,0,0.0006,0,0.00088,0,0.0014,0,0.0008,,,0.2,A,CZCHMI_3639,http://cdr.eionet.europa.eu/cz/eea/wise_soe/wise4/envwkwjza/CZ_SW_2009_2015_WISE-SoE_WaterQuality._AggregatedData.xml,46:04.0,stable,A,11139613
CZ,CZPMO_3639,euMonitoringSiteCode,RW,CAS_193-39-5,"Indeno(1,2,3-cd)pyrene",W,ug/L,2014,2014-02-24--2014-11-17,0.0005,6,2,1,0.0005,0,0.00112,0,0.0038,0,0.0007,,,0.2,A,CZCHMI_3639,http://cdr.eionet.europa.eu/cz/eea/wise_soe/wise4/envwkwjza/CZ_SW_2009_2015_WISE-SoE_WaterQuality._AggregatedData.xml,46:04.0,stable,A,11139614
CZ,CZPMO_3639,euMonitoringSiteCode,RW,CAS_205-99-2,Benzo(b)fluoranthene,W,ug/L,2014,2014-02-24--2014-11-17,0.002,6,5,1,0.002,1,0.002,0,0.0021,1,0.002,,,0.2,A,CZCHMI_3639,http://cdr.eionet.europa.eu/cz/eea/wise_soe/wise4/envwkwjza/CZ_SW_2009_2015_WISE-SoE_WaterQuality._AggregatedData.xml,46:04.0,stable,A,11139615
CZ,CZPMO_3639,euMonitoringSiteCode,RW,CAS_206-44-0,Fluoranthene,W,ug/L,2014,2014-02-24--2014-11-17,0.002,6,0,0,0.0035,0,0.00695,0,0.0141,0,0.00585,,,0.2,A,CZCHMI_3639,http://cdr.eionet.europa.eu/cz/eea/wise_soe/wise4/envwkwjza/CZ_SW_2009_2015_WISE-SoE_WaterQuality._AggregatedData.xml,46:04.0,stable,A,11139616
CZ,CZPMO_3639,euMonitoringSiteCode,RW,CAS_207-08-9,Benzo(k)fluoranthene,W,ug/L,2014,2014-02-24--2014-11-17,0.002,6,6,1,0.002,1,0.002,1,0.002,1,0.002,,,0.2,A,CZCHMI_3639,http://cdr.eionet.europa.eu/cz/eea/wise_soe/wise4/envwkwjza/CZ_SW_2009_2015_WISE-SoE_WaterQuality._AggregatedData.xml,46:04.0,stable,A,11139617
CZ,CZPMO_3639,euMonitoringSiteCode,RW,CAS_207122-15-4,"BDE 154 (2,2’,4,4’,5,6’-hexabromodiphenyl ether)",W,ug/L,2014,2014-02-24--2014-11-17,0.0001,6,5,1,0.0001,1,0.0001,1,0.0001,1,0.0001,,,0.2,A,CZCHMI_3639,http://cdr.eionet.europa.eu/cz/eea/wise_soe/wise4/envwkwjza/CZ_SW_2009_2015_WISE-SoE_WaterQuality._AggregatedData.xml,46:04.0,stable,A,11139618
CZ,CZPMO_3639,euMonitoringSiteCode,RW,CAS_208-96-8,Acenaphthylene,W,ug/L,2014,2014-02-24--2014-11-17,0.02,6,6,1,0.02,1,0.02,1,0.02,1,0.02,,,0.2,A,CZCHMI_3639,http://cdr.eionet.europa.eu/cz/eea/wise_soe/wise4/envwkwjza/CZ_SW_2009_2015_WISE-SoE_WaterQuality._AggregatedData.xml,46:04.0,stable,A,11139619
